attribute_set,attribute_group,frontend_label_0,attribute_code,frontend_label_1,description,frontend_input,options,note,is_global,is_filterable,is_required,default_value_text,is_unique,frontend_class,is_used_in_grid,is_searchable,search_weight,is_visible_in_advanced_search,is_filterable_in_grid,is_filterable_in_search,position,is_used_for_promo_rules,is_html_allowed_on_front,is_visible_on_front,used_in_product_listing,used_for_sort_by
Lens Filters,Product Details,Colour,colour_filter,,,Dropdown,"Blue, Green, Red, Orange, Yellow, Yellow/Green, Yellow/Orange",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
Lens Filters,Product Details,Coating,coating,,,Dropdown,"Multi-coated, Single Coated",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,40,No,Yes,No,No,No
Lens Filters,Product Details,Cokin Kit Type,kit_type_cokin,,,Multiple Select,"Polarizing, Creative Effects, Diffusion, Graduated Color, Graduated Neutral Density, Infrared Creative, Landscape/Scenic, ND/Polarizing, Neutral Density, Portraiture",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
Lens Filters,Haida System,Rectangular Sizes,rectangular_sizes,,,Dropdown,"4"" x 4"", 4"" x 6"", 6"" x 6"", 6.0 x 6.7"" / 150 x 170mm",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
Lens Filters,Filter Accessories,Step-Up Rings,step_up_rings,,,Dropdown,"37-37.5mm, 37-40.5mm, 37-43mm, 37-46mm, 37-48mm, 37-49mm, 37-52mm, 37-55mm, 37-58mm, 37-67mm, 40.5-46mm, 40.5-48mm, 40.5-49mm, 40.5-52mm, 40.5-55mm, 40.5-58mm, 43-46mm, 43-49mm, 43-55mm, 43-58mm, 43-60mm, 43-62mm, 43-67mm, 43-72mm, 43.5-46mm, 45-55mm, 46-49mm, 46-52mm, 46-55mm, 46-58mm, 46-62mm, 46-67mm, 46-72mm, 46-77mm, 46.5-55mm, 49-52mm, 49-55mm, 49-58mm, 49-60mm, 49-62mm, 49-67mm, 49-72mm, 49-77mm, 52-55mm, 52-58mm, 52-60mm, 52-62mm, 52-67mm, 52-72mm, 52-77mm, 52-82mm, 55-58mm, 55-60mm, 55-62mm, 55-67mm, 55-72mm, 55-77mm, 55-82mm, 58-60mm, 58-62mm, 58-67mm, 58-72mm , 58-77mm, 58-82mm, 58-86mm, 59-60mm, 60-62mm, 60-67mm, 60-72mm, 60-77mm, 60-82mm, 62-67mm, 62-72mm, 62-77mm, 62-82mm, 62-105mm, 67-72mm, 67-77mm, 67-82mm, 67-86mm, 67-95mm, 67-105mm, 69-72mm, 69-77mm, 72-77mm, 72-82mm, 72-86mm, 72-95mm, 72-105mm, 77-82mm, 77-86mm, 77-95mm, 77-105mm, 82-86mm, 82-95mm, 82-105mm, 86-95mm, 86-105mm",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Lens Filters,Filter Accessories,Step-Down Rings,step_down_rings,,,Dropdown,"40.5-37mm, 42-39mm, 43-34mm, 43-37mm, 43-39mm, 43-40.5mm, 43.5-37mm, 44-35.5mm, 46-35.5mm, 46-37mm, 46-39mm, 46-40.5mm, 46-43mm, 46-43.5mm, 48-40.5mm, 48-43mm, 48-46mm, 49-34mm, 49-35.5mm, 49-37mm, 49-39mm, 49-40.5mm, 49-43mm, 49-46mm, 49-48mm, 50-49mm, 52-37mm, 52-40.5mm, 52-43mm, 52-46mm, 52-48mm, 52-49mm, 54-46mm, 54-48mm, 54-49mm, 54-52mm, 55-37mm, 55-46mm, 55-48mm, 55-49mm, 55-52mm, 55-54mm, 58-37mm, 58-46mm, 58-48mm, 58-49mm, 58-52mm, 58-54mm, 58-55mm, 59-55mm, 60-54mm, 60-55mm, 60-58mm, 62-46mm, 62-49mm, 62-52mm, 62-54mm, 62-55mm, 62-58mm, 67-49mm, 67-52mm, 67-54mm, 67-55mm, 67-58mm, 67-62mm, 69-52mm, 69-62mm, 69-67mm, 72-52mm, 72-54mm, 72-55mm, 72-58mm, 72-62mm, 72-67mm, 74-62mm, 74-67mm, 74-72mm, 75-62mm, 75-67mm, 77-52mm, 77-54mm, 77-55mm , 77-58mm, 77-62mm, 77-67mm, 77-72mm, 82-67mm, 82-72mm, 82-77mm, 86-77mm, 86-82mm, 95-86mm",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Lens Filters,Filter Accessories,Other Filter Accessories,other_filter_accessories,,,Multiple Select,,,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Accessories,Lens Adapters,Camera Fitting (Male),camera_fitting_male,,,Dropdown,"Canon EOS M, Fujifilm X, Leica M, Micro Four Thirds, Nikon, Canon EOS EF/EF-S, Sony Alpha / Minolta AF, Sony E (NEX), Fujifilm GFX, Nikon 1",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Accessories,Lens Adapters,Lens Fitting (Female),lens_fitting_female,,,Dropdown,"Canon EOS, Canon FD, Contax/Yashica, Leica R, Nikon F, Nikon G, Olympus OM, Leica M, Minolta MD, M42 Screw",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Lens Accessories,Lens Adapters,Features,lens_adapter_features,,,Multiple Select,"Basic Adapter, Electronic Adapter, Interchangeable Mounts, Macro Helicoid, Professional, SpeedBooster / Baveyes, With Aperture Control, With Focus Confirmation, With Variable ND Filter, With 1.4x Focus Correction",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
